Latitude,Longitude,Zone,Land-Use
45.5071516,9.1631089,zone9,industrial
45.5071792,9.163287,zone9,industrial
45.5077421,9.1665021,zone9,industrial
45.5078324,9.1670176,zone9,industrial
45.5079154,9.1672707,zone9,industrial
45.5079514,9.1673453,zone9,industrial
45.5080001,9.1674285,zone9,industrial
45.4977809,9.1865091,zone9,grass
45.4977727,9.1866003,zone9,grass
45.4981601,9.1867558,zone9,grass
45.498185,9.1867265,zone9,grass
45.4981616,9.1864352,zone9,grass
45.4977809,9.1865091,zone9,grass
45.5257776,9.1948971,zone9,industrial
45.5250805,9.1948699,zone9,industrial
45.5249082,9.1949331,zone9,industrial
45.5238888,9.1953067,zone9,industrial
45.5230196,9.1957391,zone9,industrial
45.5222114,9.1962946,zone9,industrial
45.5222393,9.1979333,zone9,industrial
45.5222473,9.1987503,zone9,industrial
45.5224517,9.199644,zone9,industrial
45.5258156,9.1983955,zone9,industrial
45.5260182,9.1978319,zone9,industrial
45.5261735,9.1971444,zone9,industrial
45.5262452,9.1965325,zone9,industrial
45.5261956,9.1949038,zone9,industrial
45.5257776,9.1948971,zone9,industrial
45.5053363,9.1613327,zone9,industrial
45.5054171,9.1617002,zone9,industrial
45.5054865,9.1620159,zone9,industrial
45.5055217,9.1621759,zone9,industrial
45.5055471,9.1622585,zone9,industrial
45.505577,9.1623948,zone9,industrial
45.5056507,9.1627283,zone9,industrial
45.5056832,9.1627169,zone9,industrial
45.5061329,9.1625451,zone9,industrial
45.5062194,9.1625128,zone9,industrial
45.5061918,9.1623721,zone9,industrial
45.5061406,9.1621394,zone9,industrial
45.5061692,9.1621372,zone9,industrial
45.5063097,9.1620748,zone9,industrial
45.5067815,9.1618623,zone9,industrial
45.5067697,9.1617874,zone9,industrial
45.5067211,9.1615649,zone9,industrial
45.5065927,9.1607625,zone9,industrial
45.5065315,9.1607882,zone9,industrial
45.5059328,9.1610542,zone9,industrial
45.5057955,9.1611237,zone9,industrial
45.5057394,9.1611522,zone9,industrial
45.505688,9.1611752,zone9,industrial
45.5054399,9.1612863,zone9,industrial
45.5053363,9.1613327,zone9,industrial
45.4872615,9.1933783,zone9,grass
45.4872801,9.1935742,zone9,grass
45.4876715,9.1934239,zone9,grass
45.4877236,9.1931978,zone9,grass
45.4876784,9.1932073,zone9,grass
45.4876488,9.1933402,zone9,grass
45.4876056,9.1933493,zone9,grass
45.4875889,9.1933013,zone9,grass
45.4872615,9.1933783,zone9,grass
45.5164696,9.1559868,zone9,grass
45.5165013,9.1561069,zone9,grass
45.5164934,9.1561611,zone9,grass
45.5164521,9.156224,zone9,grass
45.5162818,9.1563346,zone9,grass
45.5151156,9.1568146,zone9,grass
