Latitude,Longitude,Zone,LandUse
45.4314069,9.2503917,zone4,farmland
45.4313505,9.2504882,zone4,farmland
45.4303768,9.2490801,zone4,farmland
45.4304295,9.2489943,zone4,farmland
45.4298145,9.2480045,zone4,farmland
45.4298183,9.2473286,zone4,farmland
45.4333834,9.2523602,zone4,meadow
45.4321524,9.2508957,zone4,meadow
45.4318814,9.2510835,zone4,meadow
45.4317684,9.2514429,zone4,meadow
45.4332403,9.2530415,zone4,meadow
45.4333834,9.2523602,zone4,meadow
45.4354799,9.2499999,zone4,quarry
45.4353632,9.2495707,zone4,quarry
45.4349343,9.2493132,zone4,quarry
45.4341924,9.2505979,zone4,quarry
45.4341826,9.2506149,zone4,quarry
45.4342089,9.2510011,zone4,quarry
45.4337485,9.251931,zone4,quarry
45.434189,9.2520276,zone4,quarry
45.4354799,9.2499999,zone4,quarry
45.4370306,9.2480308,zone4,meadow
45.4369403,9.2477734,zone4,meadow
45.4367761,9.2479649,zone4,meadow
45.4361438,9.2489734,zone4,meadow
45.4357658,9.2492325,zone4,meadow
45.4354963,9.2498317,zone4,meadow
45.4354948,9.2500479,zone4,meadow
45.4345165,9.2515714,zone4,meadow
45.4341927,9.2520756,zone4,meadow
45.4336141,9.2521598,zone4,meadow
45.4332667,9.2530734,zone4,meadow
45.4335603,9.2532987,zone4,meadow
45.4336859,9.2532752,zone4,meadow
45.4338464,9.2532451,zone4,meadow
45.4341487,9.2530181,zone4,meadow
45.434524,9.2525048,zone4,meadow
45.4351485,9.2520005,zone4,meadow
45.4360444,9.2505199,zone4,meadow
45.4363584,9.2499207,zone4,meadow
45.4367761,9.2491236,zone4,meadow
45.4370306,9.2480308,zone4,meadow
45.4458872,9.2318897,zone4,industrial
45.4456785,9.2317976,zone4,industrial
45.445413,9.2316805,zone4,industrial
45.4453143,9.2317224,zone4,industrial
45.4449441,9.2318634,zone4,industrial
45.4447781,9.2319324,zone4,industrial
45.4446309,9.2319925,zone4,industrial
45.4441402,9.2321775,zone4,industrial
45.4439334,9.2322579,zone4,industrial
45.4436655,9.2323634,zone4,industrial
45.4435015,9.2324264,zone4,industrial
45.4432953,9.2325074,zone4,industrial
45.4432459,9.2325268,zone4,industrial
45.4430599,9.2325985,zone4,industrial
45.442936,9.2326467,zone4,industrial
45.4423601,9.2328693,zone4,industrial
45.4394979,9.2339869,zone4,industrial
45.4404033,9.2343369,zone4,industrial
45.4422326,9.235044,zone4,industrial
45.4425036,9.2350172,zone4,industrial
45.4427644,9.234917,zone4,industrial
45.4433305,9.2346996,zone4,industrial
45.4436294,9.2345847,zone4,industrial
45.4436628,9.2345719,zone4,industrial
45.4446979,9.2337136,zone4,industrial
45.4451571,9.2331478,zone4,industrial
45.4454592,9.2326271,zone4,industrial
45.4456588,9.2322832,zone4,industrial
45.4457123,9.2323431,zone4,industrial
45.4458705,9.2319329,zone4,industrial
45.4458872,9.2318897,zone4,industrial
45.4573647,9.2405794,zone4,grass
45.4574442,9.2412741,zone4,grass
45.4574615,9.2413259,zone4,grass
45.4574897,9.24137,zone4,grass
45.4575128,9.2413919,zone4,grass
45.4575425,9.241408,zone4,grass
45.4575928,9.241419,zone4,grass
45.4571616,9.2420021,zone4,grass
45.4571168,9.2419293,zone4,grass
45.457099,9.2419448,zone4,grass
45.4570716,9.241889,zone4,grass
45.457017,9.2417147,zone4,grass
45.4569982,9.2415591,zone4,grass
45.4570039,9.2414196,zone4,grass
45.4570203,9.2413158,zone4,grass
45.4570415,9.2412185,zone4,grass
45.4570786,9.2411005,zone4,grass
45.4571243,9.2409905,zone4,grass
45.4572936,9.2406579,zone4,grass
45.4573289,9.240615,zone4,grass
45.4573647,9.2405794,zone4,grass
45.4412041,9.2440364,zone4,farmland
45.4406373,9.2433143,zone4,farmland
45.440966,9.2429372,zone4,farmland
45.4414328,9.2425176,zone4,farmland
45.4417195,9.2422195,zone4,farmland
45.4419097,9.2420095,zone4,farmland
45.4423356,9.2415391,zone4,farmland
45.4426167,9.2412834,zone4,farmland
45.4428248,9.2410278,zone4,farmland
45.4434091,9.2399748,zone4,farmland
45.4439139,9.2406121,zone4,farmland
45.4438333,9.2407318,zone4,farmland
45.443889,9.241079,zone4,farmland
45.4437551,9.241395,zone4,farmland
45.443475,9.2417764,zone4,farmland
45.4431529,9.2412662,zone4,farmland
45.4424287,9.2420982,zone4,farmland
45.4425341,9.2422377,zone4,farmland
45.4424774,9.2423139,zone4,farmland
45.4423655,9.2423607,zone4,farmland
