Latitude,Longitude,Zone,GHI (kWh/m2)
45.4544207,9.2456108,Zone 4,1417.9
45.4519734,9.2403054,Zone 4,1417.9
45.4519971,9.2402669,Zone 4,1417.9
45.4638085,9.2096723,Zone 4,1412.7
45.4634242,9.2108415,Zone 4,1412.7
45.4661491,9.2074233,Zone 4,1411.8
45.4353144,9.2412025,Zone 4,1420.1
45.461869,9.2111934,Zone 4,1413.4
45.4298321,9.246761,Zone 4,1421.4
45.4620419,9.2096837,Zone 4,1413.3
45.4568189,9.2235176,Zone 4,1415.5
45.4571106,9.2234772,Zone 4,1415.5
45.4577567,9.2079204,Zone 4,1413.9
45.4579274,9.2080681,Zone 4,1413.9
45.4485072,9.2205962,Zone 4,1417
45.4288324,9.2573388,Zone 4,1421.7
45.4528696,9.2139253,Zone 4,1415.5
45.4530728,9.2133942,Zone 4,1415.5
45.4532902,9.2128685,Zone 4,1415.5
45.4635833,9.2118562,Zone 4,1412.7
45.442047,9.2173833,Zone 4,1418.1
45.4421071,9.2191017,Zone 4,1418.3
45.4403341,9.2209133,Zone 4,1418.4
45.4410719,9.2204872,Zone 4,1418.4
45.4414662,9.2207355,Zone 4,1418.4
45.4416657,9.2212049,Zone 4,1418.4
45.4414918,9.2237729,Zone 4,1418.5
45.4457181,9.2131994,Zone 4,1417.1
45.4661979,9.2149093,Zone 4,1412.3
45.4667061,9.2100141,Zone 4,1412.1
45.4503799,9.2066415,Zone 4,1415.7
45.4576105,9.2094733,Zone 4,1413.9
45.4585645,9.2109433,Zone 4,1414.1
45.4563152,9.212146,Zone 4,1414.6
45.4572643,9.2127966,Zone 4,1414.8
45.4569653,9.2125792,Zone 4,1414.8
45.4573547,9.2128903,Zone 4,1414.8
45.4578721,9.21329,Zone 4,1414.1
45.4519177,9.2045941,Zone 4,1415.5
45.4521021,9.2054417,Zone 4,1415.7
45.4516637,9.2053692,Zone 4,1415.7
45.4518368,9.2051091,Zone 4,1415.7
45.4592394,9.2153615,Zone 4,1414.3
45.4592798,9.2153696,Zone 4,1414.3
45.4593823,9.2153599,Zone 4,1414.3
45.4593466,9.215362,Zone 4,1414.3
45.4592478,9.215086,Zone 4,1414.3
45.4594199,9.2153585,Zone 4,1414.3
45.4593113,9.2153663,Zone 4,1414.3
45.4592055,9.2153367,Zone 4,1414.3
45.4592196,9.2151329,Zone 4,1414.3
45.4565895,9.2115936,Zone 4,1414.6
45.4558218,9.2109286,Zone 4,1414.6
45.4454835,9.213597,Zone 4,1417.1
45.4467051,9.2137951,Zone 4,1417.1
45.4466675,9.2141438,Zone 4,1417.1
45.4466437,9.2141176,Zone 4,1417.1
45.446675,9.2138219,Zone 4,1417.1
45.4466336,9.2140526,Zone 4,1417.1
45.4442722,9.2663108,Zone 4,1420.4
45.4593566,9.2071614,Zone 4,1413.7
45.4595706,9.2074251,Zone 4,1413.7
45.4606115,9.2080089,Zone 4,1413.3
45.4584498,9.2074108,Zone 4,1413.7
45.458145,9.2081699,Zone 4,1413.9
45.4583067,9.2076947,Zone 4,1413.9
45.4519325,9.2281027,Zone 4,1417
45.4507742,9.2261743,Zone 4,1416.9
45.4489031,9.211924,Zone 4,1416.4
45.4487677,9.2123044,Zone 4,1416.4
45.4488276,9.212151,Zone 4,1416.4
45.4589368,9.2091814,Zone 4,1413.9
45.4570708,9.2086979,Zone 4,1414.5
45.4574376,9.2081849,Zone 4,1414.5
45.4522019,9.2055171,Zone 4,1415.7
45.4547674,9.2135465,Zone 4,1415.5
45.457592,9.2199123,Zone 4,1414.5
45.4576339,9.2200564,Zone 4,1414.6
45.4578902,9.2191425,Zone 4,1414.5
45.457893,9.2187589,Zone 4,1414.5
45.4570301,9.2174534,Zone 4,1415
45.4560792,9.2260857,Zone 4,1415.7
45.4563953,9.2171851,Zone 4,1415
45.4640008,9.2161931,Zone 4,1413.1
